id_property,description,label
ANDN920101,alpha-CH chemical shifts,Group 1
ARGP820101,Hydrophobicity index,Group 0
ARGP820102,Signal sequence helical potential,Group 3
ARGP820103,Membrane-buried preference parameters,Group 4
BEGF750101,Conformational parameter of inner helix,Group 1
BEGF750102,Conformational parameter of beta-structure,Group 4
BEGF750103,Conformational parameter of beta-turn,Group 4
BHAR880101,Average flexibility indices,Group 7
BIGC670101,Residue volume,Group 4
BIOV880101,Information value for accessibility; average fraction 35%,Group 3
BIOV880102,Information value for accessibility; average fraction 23%,Group 3
BROC820101,Retention coefficient in TFA,Group 7
BROC820102,Retention coefficient in HFBA,Group 7
BULH740101,Transfer free energy to surface,Group 4
BULH740102,Apparent partial specific volume,Group 1
BUNA790101,alpha-NH chemical shifts,Group 1
BUNA790102,alpha-CH chemical shifts,Group 1
BUNA790103,Spin-spin coupling constants 3JHalpha-NH,Group 0
BURA740101,Normalized frequency of alpha-helix,Group 0
BURA740102,Normalized frequency of extended structure,Group 2
CHAM810101,Steric parameter,Group 2
CHAM820101,Polarizability parameter,Group 2
CHAM820102,"Free energy of solution in water, kcal/mole",Group 2
CHAM830101,The Chou-Fasman parameter of the coil conformation,Group 7
CHAM830102,A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet,Group 7
CHAM830103,The number of atoms in the side chain labelled 1+1,Group 3
CHAM830104,The number of atoms in the side chain labelled 2+1,Group 3
CHAM830105,The number of atoms in the side chain labelled 3+1,Group 3
CHAM830106,The number of bonds in the longest chain,Group 3
CHAM830107,A parameter of charge transfer capability,Group 2
CHAM830108,A parameter of charge transfer donor capability,Group 2
CHOC750101,Average volume of buried residue,Group 4
CHOC760101,Residue accessible surface area in tripeptide,Group 6
CHOC760102,Residue accessible surface area in folded protein,Group 1
CHOC760103,Proportion of residues 95% buried,Group 7
CHOC760104,Proportion of residues 100% buried,Group 7
CHOP780101,Normalized frequency of beta-turn,Group 4
CHOP780201,Normalized frequency of alpha-helix,Group 0
CHOP780202,Normalized frequency of beta-sheet,Group 0
CHOP780203,Normalized frequency of beta-turn,Group 4
CHOP780204,Normalized frequency of N-terminal helix,Group 2
CHOP780205,Normalized frequency of C-terminal helix,Group 2
CHOP780206,Normalized frequency of N-terminal non helical region,Group 2
CHOP780207,Normalized frequency of C-terminal non helical region,Group 2
CHOP780208,Normalized frequency of N-terminal beta-sheet,Group 0
CHOP780209,Normalized frequency of C-terminal beta-sheet,Group 0
