properties_values,label
ANDN920101,0
ARGP820101,0
ARGP820102,0
ARGP820103,0
BEGF750101,0
BEGF750102,0
BEGF750103,0
BHAR880101,0
BIGC670101,0
BIOV880101,0
BIOV880102,0
BROC820101,0
BROC820102,0
BULH740101,0
BULH740102,0
BUNA790101,0
BUNA790102,0
BUNA790103,0
BURA740101,0
BURA740102,0
CHAM810101,0
CHAM820101,0
CHAM820102,0
CHAM830101,0
CHAM830102,0
CHAM830103,0
CHAM830104,0
CHAM830105,0
CHAM830106,0
CHAM830107,0
CHAM830108,0
CHOC750101,0
CHOC760101,0
CHOC760102,0
CHOC760103,0
CHOC760104,0
CHOP780101,0
CHOP780201,0
CHOP780202,0
CHOP780203,0
CHOP780204,0
CHOP780205,0
CHOP780206,0
CHOP780207,0
CHOP780208,0
CHOP780209,0
CHOP780210,0
CHOP780211,0
CHOP780212,0
CHOP780213,0
CHOP780214,0
CHOP780215,0
CHOP780216,0
CIDH920101,0
CIDH920102,0
CIDH920103,0
CIDH920104,0
CIDH920105,0
COHE430101,0
CRAJ730101,0
CRAJ730102,0
CRAJ730103,0
DAWD720101,0
DAYM780101,0
DAYM780201,0
DESM900101,0
DESM900102,0
EISD840101,0
EISD860101,0
EISD860102,0
EISD860103,0
FASG760101,0
FASG760102,0
FASG760103,0
FASG760104,0
FASG760105,0
FAUJ830101,0
FAUJ880101,0
FAUJ880102,0
FAUJ880103,0
FAUJ880104,0
FAUJ880105,0
FAUJ880106,0
FAUJ880107,0
FAUJ880108,0
FAUJ880109,0
FAUJ880110,0
FAUJ880111,0
FAUJ880112,0
FAUJ880113,0
FINA770101,0
FINA910101,0
FINA910102,0
FINA910103,0
FINA910104,0
GARJ730101,0
GEIM800101,0
GEIM800102,0
GEIM800103,0
GEIM800104,0
GEIM800105,0
GEIM800106,0
GEIM800107,0
GEIM800108,0
GEIM800109,0
GEIM800110,0
GEIM800111,0
GOLD730101,0
GOLD730102,0
GRAR740101,0
GRAR740102,0
GRAR740103,0
GUYH850101,0
HOPA770101,0
HOPT810101,0
HUTJ700101,0
HUTJ700102,0
HUTJ700103,0
ISOY800101,0
ISOY800102,0
ISOY800103,0
ISOY800104,0
ISOY800105,0
ISOY800106,0
ISOY800107,0
ISOY800108,0
JANJ780101,0
JANJ780102,0
JANJ780103,0
JANJ790101,0
JANJ790102,0
JOND750101,0
JOND750102,0
JOND920101,0
JOND920102,0
JUKT750101,0
JUNJ780101,1
KANM800101,0
KANM800102,0
KANM800103,0
KANM800104,0
KARP850101,0
KARP850102,0
KARP850103,0
KHAG800101,0
KLEP840101,0
KRIW710101,0
KRIW790101,0
KRIW790102,0
KRIW790103,0
KYTJ820101,0
LAWE840101,0
LEVM760101,0
LEVM760102,0
LEVM760103,0
LEVM760104,0
LEVM760105,0
LEVM760106,0
LEVM760107,0
LEVM780101,0
LEVM780102,0
LEVM780103,0
LEVM780104,0
LEVM780105,0
LEVM780106,0
LEWP710101,0
LIFS790101,0
LIFS790102,0
LIFS790103,0
MANP780101,0
MAXF760101,0
MAXF760102,0
MAXF760103,0
MAXF760104,0
MAXF760105,0
MAXF760106,0
MCMT640101,0
MEEJ800101,0
MEEJ800102,0
MEEJ810101,0
MEEJ810102,0
MEIH800101,0
MEIH800102,0
MEIH800103,0
MIYS850101,0
NAGK730101,0
NAGK730102,0
NAGK730103,0
NAKH900101,0
NAKH900102,0
NAKH900103,0
NAKH900104,0
NAKH900105,0
NAKH900106,0
NAKH900107,0
NAKH900108,0
NAKH900109,0
NAKH900110,0
NAKH900111,0
NAKH900112,0
NAKH900113,0
NAKH920101,0
NAKH920102,0
NAKH920103,0
NAKH920104,0
NAKH920105,0
NAKH920106,0
NAKH920107,0
NAKH920108,0
NISK800101,0
NISK860101,0
NOZY710101,0
OOBM770101,0
OOBM770102,0
OOBM770103,0
OOBM770104,0
OOBM770105,0
OOBM850101,0
OOBM850102,0
OOBM850103,0
OOBM850104,0
OOBM850105,0
PALJ810101,0
PALJ810102,0
PALJ810103,0
PALJ810104,0
PALJ810105,0
PALJ810106,0
PALJ810107,0
PALJ810108,0
PALJ810109,0
PALJ810110,0
