description,cluster
alpha-CH chemical shifts,0
Bulkiness,0
Hydrophobicity,0
Dependence of partition coefficient on ionic strength,0
Principal property value z3,0
Principal property value z2,0
Principal property value z1,0
Hydration potential,0
Polar requirement,0
Polarity,0
Propensity to be buried inside,0
Bitterness,0
Electron-ion interaction potential,0
Optimal matching hydrophobicity,0
Zimm-Bragg parameter sigma x 1.0E4,0
Zimm-Bragg parameter s at 20 C,0
Principal component IV,0
Principal component III,0
Principal component II,0
RF value in high salt chromatography,0
Isoelectric point,0
RF rank,0
Delta G values for the peptides extrapolated to 0 M urea,0
Averaged turn propensities in a transmembrane helix,0
Hydropathy scale based on self-information values in the two-state model (50% accessibility),0
Hydropathy scale based on self-information values in the two-state model (36% accessibility),0
Hydropathy scale based on self-information values in the two-state model (25% accessibility),0
Hydropathy scale based on self-information values in the two-state model (20% accessibility),0
Hydropathy scale based on self-information values in the two-state model (16% accessibility),0
Hydropathy scale based on self-information values in the two-state model (9% accessibility),0
Hydropathy scale based on self-information values in the two-state model (5% accessibility),0
Propensity of amino acids within pi-helices,0
p-Values of thermophilic proteins based on the distributions of B values,0
p-Values of mesophilic proteins based on the distributions of B values,0
Alpha helix propensity of position 44 in T4 lysozyme,0
Turn propensity scale for transmembrane helices,0
Thermodynamic beta sheet propensity,0
Normalized flexibility parameters (B-values) for each residue surrounded by two rigid neighbours,0
Normalized flexibility parameters (B-values) for each residue surrounded by one rigid neighbours,0
Normalized flexibility parameters (B-values) for each residue surrounded by none rigid neighbours,0
"Normalized flexibility parameters (B-values), average",0
Helix formation parameters (delta delta G),0
Principal component I,0
Alpha-helix propensity derived from designed sequences,0
Mean fractional area loss,0
Information measure for loop,0
Intercept in regression analysis,0
Average number of surrounding residues,0
Accessibility reduction ratio,0
Surrounding hydrophobicity in turn,0
Surrounding hydrophobicity in beta-sheet,0
Surrounding hydrophobicity in alpha-helix,0
Average gain ratio in surrounding hydrophobicity,0
Average gain in surrounding hydrophobicity,0
Slope in regression analysis x 1.0E1,0
Surrounding hydrophobicity in folded form,0
HPLC parameter,0
Optimized propensity to form reverse turn,0
Optimized beta-structure-coil equilibrium constant,0
14 A contact number,0
8 A contact number,0
Ratio of average and computed composition,0
Normalized composition from fungi and plant,0
